question_nl,option1_nl,option2_nl,option3_nl,reason_nl,image_nl
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    De kinderen zijn bewust van uw aanwezigheid en hebben hun spel gestopt om u voor te laten gaan. Uw snelheid is juist. Rijd langzaam verder.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/WhUNe2CPg2g0dP9VqXiX.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    U nadert een verhoging op de weg (bord B6) met haaientanden die naar uw rijstrook verwijzen. Er is ook een fiets op de weg. Minder uw snelheid tot de fiets is overgestoken.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/tcau3mPG5WF08PiGSVyx.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Minder uw snelheid wanneer u een verkeersdrempel nadert.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/zag7XQ6SS3UptgFnyknt.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Wanneer u met deze snelheid een bocht nadert, gebruikt u de rem om langzamer te rijden en om zo veilig de bocht te kunnen nemen.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/zmct0Zu5wVZWzuRKKa3w.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    De auto voor je heeft zijn remlichten aan. U moet ook remmen in afwachting van een zebrapad verderop, er kunnen mensen op het zebrapad lopen die u niet kunt zien door de auto voor u.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/9KmNRMewfK8Yw3y7kJRD.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    U rijdt met een veilige snelheid onder deze weersomstandigheden en u hoeft niet te remmen.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/NfgZCdBb95D5lVuavr7D.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Verlaag uw snelheid door te remmen als u de snelweg verlaat. De meeste afritten hebben scherpe bochten, dus als u uw snelheid verlaagt, kunt u veilig deze bocht nemen.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/3sSe4VgoHCKOiLjwT4ph.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Het bord geeft aan dat u links moet afslaan. Verlaag uw snelheid om veilig terug te schakelen.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/109QGj1yaGqRWHFRFiKb.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Verlaag uw snelheid na een verkeersdrempel en een gevaarlijk kruispunt.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/eX0FV73A9vr428Icp9JX.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Verlaag uw snelheid en haal de fiets in wanneer dit veilig is.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/jskgz3Bg1nWIeqo2aynH.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Ga verder met dezelfde snelheid wanneer er geen gevaar in het verschiet ligt.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/LkmyaKZv5tKBOTbo3s7P.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    De auto die voor u rijdt heeft zijn remmen gebruikt, dus u moet ook remmen om uw snelheid te minderen.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/C2YY6G10o8GAABBiToDI.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    U nadert een verkeersdrempel en wegwerkzaamheden. Verlaag uw snelheid en rijd voorzichtig te door. Houd rekening met bouwvakkers die achter de truck staan of achter de geparkeerde auto's aan uw linkerhand.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/PHFUArNNSvQpPW4hiqrs.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    U kunt met uw huidige snelheid naar de andere baan gaan, omdat er geen obstakels op de weg zijn.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/UW3yEtRgrRHDMZlgo1aj.jpg
